.,French
quest.name,Retour pour Noël ver.3.0 (2025)
quest.authors,"\nKrakalun RedVelvet\n\nCorrection, traduction et soutien spirituel : \nCristina Hernado et Aida Franch\n\nRemerciements à @Vidimus"
quest.description,"<i>Retour pour Noël version 3.0 (2025)</i>\nScénario pour les Demeures de l'Épouvante 2ème Édition\n···\n\n<b><i>Noël approche, et cette année, l'oncle Jeremiah Blackwood veut que toute la famille se réunisse. Mais quelque chose vous laisse soupçonner que la surprise n'est pas celle des Rois Mages.\nUne aventure où l'enquête prime.\nPour les explorateurs de la vérité, avec le parfum des mondes du Maître HPL. </i></b> \n\n···\nL'auteur a décidé d'utiliser l'écriture inclusive pour que le maximum de personnes puissent se sentir incluses.\n\nLe plateau peut occuper un espace de 85x50cm.\n\nC'est un scénario fait avec amour, mais totalement amateur. Veuillez excuser les éventuelles erreurs. À la fin du jeu, vous avez la possibilité de laisser des commentaires.\nNous vous prions de nous faire part de vos avis et suggestions pour l'améliorer ensemble.\nMerci, j'espère que vous l'apprécierez autant que j'ai aimé le créer.\nLes sons sont nombreux, alors allumez vos haut-parleurs !\n\n<b><i>Iä Iä ygnaiih !!</i></b>\n\n"
EventAdInvestigadors.text,"Vous êtes dans l'obscurité la plus totale, vous ne voyez absolument rien. Vous aiguisez vos sens.\nLa maison sent la mousse et le bois vermoulu... vous entendez de petits bruits à l'intérieur de la maison, très légers.\nAllumez-vous votre lampe ?"
EventHallAdModulos.text,"La lumière vacille un instant et illumine la pièce.\n\nPlacez la tuile {c:TileHall}\n\nVous voyez deux portes et un couloir qui s'enfonce dans la maison.\nÀ gauche, un tableau imposant recouvre le mur.\n\nAjoutez les deux pions Mur et Mur (avec tableau) comme indiqué.\nUn pion Vue au fond du couloir.\n\nPlacez vos investigateurs près de la porte.\nChaque investigateur reçoit 2 indices {clue}"
UIInici.button1,Continuer
EventInici.text,|||Sir Jeremiah Blackwood est l'oncle de {rnd:hero}. \nAu début de l'année, il vous a invité avec beaucoup d'insistance \nà passer Noël chez lui.\n<i><b>"- La famille doit être unie en ces dates !"</b> </i>\nMais cela fait des semaines qu'il ne répond plus à vos lettres. \n{rnd:hero}, vous décidez de vous rendre avec votre équipe sur place pour voir ce qui a pu se passer. \nLe voyage est long et s'éloigne de la civilisation.\nSurplombant les falaises de Kingsport, la maison solitaire semble figée dans le siècle dernier, bien qu'assise sur des murs de pierre beaucoup plus anciens.\nElle est bordée par un jardin dont personne ne s'occupe plus depuis longtemps.\nVous frappez à la porte rouillée.\nSeul un écho sourd vous répond. \n{rnd:hero}, vous vous souvenez que vous gardez les Clés Anciennes de la famille.\n\nVous ouvrez la porte et entrez.\nVos pas hésitants résonnent dans le vide.|||
EventInici.button1,Continuer
EventAdInvestigadors.button1,Allumer
EventHall_AdExplorers.button1,Continuer
TokenHallExplRoom.text,"En collant l'oreille contre la porte, on n'entend absolument rien, rien du tout.\nVoulez-vous entrer {action} ?"
EventAdRoom.text,"Retirez le pion Exploration.\nPlacez la tuile {c:TileRoom}.\nAjoutez un pion Mur à gauche.\n\nC'est une chambre confortable.\nBien qu'elle sente la poussière et l'humidité.\nEn face, vous voyez une table de nuit et au fond un lit défait et froid.\nPlacez des pions Recherche sur les deux.\n\nVous pouvez vous déplacer d'une case en entrant dans la pièce.\n"
EventAdRoom.button1,Continuer
TokenRoomLlit.button1,Passer le bras par l'interstice {action}
EventRoomLlit.text,"Vous cherchez à tâtons dans l'étroit interstice entre le lit et le mur.\nC'est très resserré.\nÀ l'aveugle, vous touchez des surfaces en bois, des draps froissés et visqueux, la poussière collante accumulée sur le sol...\nVous poussez plus loin avec effort.\nEt vous palpez quelque chose de froid, de métallique, d'huileux.\nComme un tube.\nVous le saisissez et essayez de retirer votre bras coincé.\n\nVous recevez 1 carte Dégât annulée par {agility}"
TokenRoomLlit.text,"Le lit n'est pas fait.\nLes draps sont très sales \net le tapis présente des restes de ce qui semble être de la boue séchée.\nIl vous semble que quelque chose a glissé sous l'oreiller en entraînant le tissu derrière lui.\nVoulez-vous l'explorer ? {action}"
EventRoomLlitGetArma.text,"Vous avez trouvé l'objet {c:QItemArmaFoc}.\n\nRetirez le pion Recherche."
TokenBiblioQuadre.button1,L'étudier {action} ?
EventBiblioQuadreMirar.text,"La géométrie n'est pas euclidienne et la perspective se déforme quand vous l'observez de près.\n\nFaites un test de {observation}"
EventBiblioQuadreMirar.button1,Continuer
EventBiblioQuadreFerPuzzle.text,"Vous voyez clairement qu'il y a un mécanisme\nlié aux fragments en lesquels l'image se divise.\n\nRetournez le pion Observation pour qu'il devienne un pion Interaction.\nVous gagnez un {clue}"
TokenBiblioQuadreSecret.button1,Ordonner les pièces {action} ?
PuzzleBiblioQuadre.button1,Résoudre
EventBiblioQuadreResolt.button1,Continuer
EventBiblioQuadreDagaTrobada.button2,Échec
EventBiblioQuadreFerPuzzle.button1,Continuer
TokenBiblioQuadreSecret.text,"Vous trouvez un mécanisme \nqui permet de déplacer des parties du tableau en les faisant glisser.\n\nVoulez-vous essayer de les ordonner avec {lore} ?"
TokenHallExploDespatx.button1,Entrer {action}
EventHallAdDespatx.text,"Placez la tuile {c:TileDespatx}\n\nC'est une pièce très personnelle. Un espace chaleureux présidé par une table de travail.\nCela vous déconcerte qu'en ouvrant la porte, on n'entende plus aucun bruit.\nVous percevez une odeur très caractéristique que vous ne parvenez pas à identifier.\nUne belle porte au fond.\n\nDéplacez l'actuel pion Exploration vers cette porte.\n"
TokenRoomMesita.text,"La petite table de nuit a un tiroir.\nVoulez-vous l'inspecter {action} ?"
TokenRoomMesita.button1,Inspecter {action}
EventRoomInvestigaTauleta.text,"En ouvrant le tiroir, vous voyez des vêtements d'homme démodés.\nDes sous-vêtements et rien d'intéressant à première vue.\nSi vous voulez fouiller à fond, testez votre {observation}"
EventRoomInvestigaTauleta.button1,Chercher
EventRoomInvestigaTauleta.button2,Échec
EventRoomTauletaTrobat.text,"Vous remuez les vêtements avec précaution.\nVous passez vos mains sur les côtés du tiroir.\nAu fond...\nVous trouvez un petit ressort.\n"
EventRoomTauletaTrobat.button1,Activer le ressort
EventRoomMesitaFail.button1,Continuer
SpawnFantasmaDespatx.text,|||Maintenant vous savez d'où venaient les bruits.\nDans le bureau, un homme est assis derrière la table. Son visage n'en est pas un.\nIl mute, passant d'un homme d'un certain âge, aux cheveux blancs et au regard digne, à une masse sanglante et visqueuse, avec peu d'échos humains.\nVous êtes attiré par la grande lettre \"H\" brodée \nsur la poche de sa blouse, élimée et trempée d'un rouge brillant.\n\nPlacez une figurine de {c:SpawnFantasmaDespatx} sur la table du bureau.|||
SpawnFantasmaDespatx.button1,Continuer
TokenHallExploDespatx.text,"En vous approchant de la porte, vous entendez un murmure de l'autre côté.\nCe sont des sons familiers, comme quelqu'un déplaçant des papiers, écrivant, fermant des tiroirs..."
EventHallFosc.button1,Continuer
EventHallFosc3.text,"Quelque chose se déplace rapidement autour de vous, laissant une trace pestilentielle terrible et une atmosphère électrique irrespirable.\nTOUS les investigateurs ressentent des picotements sur différentes parties du corps.\nVous recevez {var:Danyo} cartes Dégât face visible.\nEt l'investigateur {rnd:hero} est Étourdi.\n\nLe silence revient.\n\nUn investigateur ramasse l'Objet {c:QItemLinterna}."
EventHallFosc2.text,"Vos corps tremblent de manière incontrôlée, tous vos objets tombent au sol.\nTous les investigateurs reçoivent {var:Horror} cartes Horreur face cachée."
EventHallFosc2.button1,Continuer
EventHallFosc3.button1,Continuer
EventAdInvestigadors.button2,Rester dans le noir
EventHallFosc.text,"Vous êtes plongés dans une obscurité impénétrable.\nVous tâtonnez avec vos mains, forcez vos yeux et tendez l'oreille.\nVous percevez de petits bruits partout mais ne voyez rien.\nLes bruits s'approchent de plus en plus vite, de plus en plus près.\nUne sensation d'humidité vous envahit la peau et une forte odeur, putride et vomitive, vous infecte."
TokenHall_Vista.text,Un investigateur sur la tuile {c:TileHall} peut activer la vue du reste du couloir.
TokenHall_Vista.button1,Vue
EventHallVistaAd.text,"Devant vous s'ouvre un couloir qui tourne à droite.\n\nPlacez la tuile {c:TilePasilloComedor}.\nDéplacez ce pion Vue au nouveau bout du couloir.\nPlacez le pion Mur à droite.\nAjoutez un pion Exploration sur la porte.\nEt un pion Observation sur le petit meuble.\n"
EventHallVistaAd.button1,Continuer
EventHall_Llum.text,"La lumière dissipe les ombres épaisses et vous permet de reconnaître le hall d'entrée.\nOn devine des portes et des meubles. Le sol semble être en damier céramique.\nDans un coin, vous découvrez un boîtier d'interrupteurs.\n"
EventHall_Llum.button1,Continuer
TokenHallCaixa.text,Un boîtier de connexions avec un mécanisme très rustique.
TokenHallCaixa.button1,Activer le mécanisme
PuzzleHallCaixaLlum.button1,Activer
TokenPasilloExplMenjador.text,Une vieille porte ayant beaucoup servi, dépeinte et usée.
TokenPasilloExplMenjador.button1,Explorer {action}
TokenPasilloVista.text,N'importe quel joueur depuis {c:TilePasilloComedor} peut activer la vue.
TokenPasilloVista.button1,Voir
EventFAIL.button1,Continuer
UIFAIL.button1,Continuer
UIFAILTEXT.uitext,"Un cri tonitruant vous frappe \nau visage et à la poitrine.\nVous ressentez le froid, le chaud et une grande douleur...\n\nVous ne savez pas ce qui s'est passé.\nVous vous réveillez sur un brancard de l'hôpital de Kingsport \nattachés par une camisole de force et avec des douleurs terribles.\nVous entendez encore ces cris fous...\n\nILS SORTENT DE VOS GORGES !!!!\nTOUS COMPLÈTEMENT FOUS.\n\nVOUS AVEZ ÉCHOUÉ !!\nEt quelque chose de terrible va arriver à ce Monde.\n\n{success}{success}{success}"
TokenDespatxExploPorta.text,"Cette porte formidable est fermée.\nLa serrure est argentée."
TokenDespatxExploPorta.button1,Ouvrir {action}
EventDespatxPortaTeclau.text,Si vous êtes l'investigateur qui possède la Clé Argentée, vous pouvez ouvrir et entrer.
EventDespatxPortaTeclau.button1,J'ai la Clé Argentée
EventDespatxAdBiblioteca.button1,Continuer
EventDespatxAdBiblioteca.text,"Retirez le pion Exploration.\nAjoutez la tuile {c:TileBiblioteca}.\n\nLa porte s'ouvre avec un grincement désagréable.\nLes murs sont couverts d'étagères remplies de livres.\nIl y a des parchemins, de vieux livres, des volumes reliés en peau.\nCela sent l'humidité et le papier pourri.\nEt par-dessus tout, une essence acide et piquante difficile à respirer.\n\nPlacez le pion Mur (avec tableau).\n"
EventDespatxPortaSenseClau.button1,La forcer
EventDespatxPortaForzar.button1,Réussi
EventDespatxPortaSenseClau.text,"C'est une porte solide et bien sécurisée.\nVoulez-vous essayer de la forcer ?"
EventDespatxPortaForzar.button2,Échec
EventDespatxPortaForzaFail.text,"L'un des fragments est projeté, rebondit et vous frappe à la tête.\n\nVous recevez une carte Dégât face cachée."
EventDespatxPortaForzaFail.button1,Continuer
TokenBiblioCadira.text,"Sur la chaise se trouve un livre ouvert.\nVoulez-vous y jeter un œil {action} ?"
TokenBiblioCadira.button1,Regarder le livre {action}
EventBiblioCadiraUllada.text,"C'est un livre atavique.\nLes gardes sont en peau avec des incrustations métalliques comme s'il avait pu être fermé à clé.\nOn dirait un impossible livre de Sorts.\n\nVous obtenez le Sort {c:QItemHechizoAtaque}.\n\nRetirez le pion Recherche."
EventBiblioCadiraUllada.button1,Continuer
EventHallAdDespatx.button1,Continuer
EventDespatxPortaTeclau.button2,Je veux forcer la porte
EventPasilloAdMenjador.text,"Vous voyez une salle avec une grande table.\n\nPlacez la tuile {c:TileComedor_cocina}.\nDéplacez ce pion Explorer vers la porte battante à droite.\nPlacez un pion Mur (avec armoire) au fond.\n\nÀ côté, ajoutez un meuble comme obstruction.\n\nAjoutez des pions Observation \nsur la table et sur le meuble du fond.\n\nVous pouvez vous déplacer d'une case vers l'intérieur."
EventPasilloAdMenjador.button1,Continuer
TokenComedorTaula.button1,Examiner {action}
EventCuinaArconNODaga.text,"Vous appuyez sur le triangle avec vos doigts mais il s'enfonce simplement.\nVous essayez avec un objet mais il n'est pas adapté."
TokenComedorCalaix.text,"Commode simple, avec plusieurs portes et tiroirs.\n"
TokenComedorCalaix.button1,Chercher {action}
TokenComedorExplPortaCuina.button1,Explorer {action}
EventCuinaExplo.text,"La cuisine est très délabrée.\nCela fait des jours que personne ne l'utilise.\nIl y a des assiettes et des ustensiles éparpillés.\nUn tiroir est ouvert.\nIl y a d'autres détritus sur le sol.\n\nAjoutez les deux pions Recherche.\nDéplacez ce pion Exploration vers la petite porte.\n\nVous pouvez vous déplacer d'une case vers l'intérieur."
TokenComedorExplPortaCuina.text,"Porte battante très usée.\nRayures. Coups. Saleté.\nLe sol est également très usé avec des taches sèches."
TokenHallExplRoom.button1,Entrer {action}
EventBiblioQuadreDagaTrobada.text,"Vous avez entre les mains une ancienne pièce d'orfèvrerie.\nEn la saisissant par le manche, vous ressentez des frissons dans les doigts, qui remontent le long de votre bras.\nDe l'énergie pure vibre et crépite jusqu'à votre épaule, votre cou et votre tête.\nVos yeux s'embuent et vous voyez tout en rouge.\n<b>Vous sentez son Pouvoir ! \n {success}\n</b>\nElle a la capacité <b>Projeter</b> qui permet, lors de votre tour, de déplacer la dague dans les mains d'un autre investigateur à portée, sans dépenser d'action.\nEn l'utilisant comme arme, vous lancez <b>deux dés supplémentaires</b>.\n(vous pouvez la consulter dans votre inventaire d'objets)\nPouvoir !\nFaites un test de ({will}+1, 2)"
EventFantasmaMort.button1,Continuer
EventDagaPasa.text,"Vous ressentez le pouvoir et réalisez sa force, et que vous n'êtes pas capable de le canaliser pour le moment.\nVotre main se cramponne au manche et votre regard cherche où ou sur qui planter la lame.\nAvec votre autre main, vous vous aidez à la lâcher et à vous calmer. Petit à petit. Doucement. Vous posez la dague au sol.\nVotre corps se relâche, votre esprit s'éclaircit.\nVous comprenez, bien que vous ne vous souveniez pas.\nVous saisissez l'objet magique par la lame et réalisez qu'il a une forme particulière.\nDes rainures la parcourent de la pointe à la garde et...\n\nVous êtes interrompu par des bruits dans le Bureau...\n"
EventDagaPasa.button1,Continuer
EventDagaFallo.text,|||Votre corps se crispe et se tend.\nVotre regard cherche où ou sur qui se planter.\nL'objet acquiert une lueur verdâtre répugnante et vous avez besoin de trancher de la chair.\nVous ne pouvez pas la dominer, c'est elle qui vous domine.\nTant qu'elle n'aura pas versé de sang, vous ne pourrez pas sortir du sortilège.\n<color=red>Vous la laissez trancher...</color>\nUn investigateur à portée ou vous-même recevez deux cartes Dégât face cachée pour pouvoir continuer.\n\nUne fois que le sang a coulé, vous rangez la dague \net tout revient à la \"normale\".\n\nRecevez une carte Horreur face cachée.\n\nVous voyez que la lame a quelque chose d'étrange mais vous ne devinez pas quoi.\nVous êtes interrompu par des bruits de l'autre côté de la porte...\n|||
EventDagaFallo.button1,Continuer
EventRoomMesitaFail.text,"Vous cherchez mais vous ne parvenez pas à vous concentrer.\nQuelque chose vous perturbe. Vous êtes distrait.\nVous ne vous rappelez plus ce que vous faites ici...\nPourquoi ce meuble est-il différent du reste de la pièce ?"
EventCuinaExplo.button1,Continuer
TokenCuinaTerra.button1,Explorer {action}
TokenCuinaCalaix.text,Un tiroir est ouvert.
EventCuinaTerra.text,"Vous regardez mieux le sol.\nVous êtes surpris de voir que certaines taches sont de la boue séchée.\nVous voyez des empreintes de chaussures et de... pieds nus.\nEt une longue traînée qui va d'une porte à l'autre à côté d'une trace sombre.\nEt cette autre empreinte humide près de la porte intérieure ?\nOn ne la distingue pas bien et vous n'en reconnaissez pas l'origine.\n\nVous obtenez l'objet unique {c:QItemPruebaCuina}.\nVous gagnez un {clue}.\n\nRetirez le pion Observation."
EventCuinaTerra.button1,Continuer
TokenCuinaTerra.text,"Vous voyez des signes suspects au sol...\n"
TokenCuinaCalaix.button1,Explorer {action}
EventCuinaCalaix.text,"Le tiroir est en désordre mais vous voyez clairement qu'il manque des couverts.\nLes emplacements de plusieurs couteaux sont vides.\n\nVous trouvez {c:QItemArmaFilo}.\nVous gagnez un Indice {clue}.\n\nRetirez le pion Recherche."
EventCuinaCalaix.button1,Continuer
