.,Spanish
quest.name,Vuelve por Navidad ver.3.0 (2025)
quest.authors,Krakalun RedVelvet
quest.description,"<i>Vuelve por Navidad versión 3.0 (2025)</i>\nEscenario para Mansiones de la Locura 2ªEdición\n···\n\n<b><i>Llega la Navidad, y este año el tío Jeremiah Blackwood quiere que la celebremos tod@s junt@s.  \nPero algo te hace sospechar que la sorpresa no son los Reyes Magos.\nUna aventura donde prima la investigación.\n Para explorador@s de la verdad, con sabor a los mundos del Maestro HPL. </i></b> \n\n···\nEl autor ha decidido utilizar la @ en palabras sin género neutro, para que el máximo de personas puedan sentirse incluid@s. Asumiendo que puede no ser suficientemente integrador.\n\nEl tablero puede ocupar un espacio de 85x50cm.\n\nEste es un escenario hecho con cariño, pero totalmente amateur. Disculpad los posibles errores. Al final del juego tenéis la posibilidad de dejar comentarios. \nOs rogamos aportéis vuestra opinión y sugerencias para ir mejorándolo entre tod@s. \nGracias, espero que lo disfruteis como yo he hecho al crearlo.\nAbundan los sonidos, así que ¡Encended los Altavoces!\n\n<b><i>Iä Iä ygnaiih !!</i></b>\n\n"
EventAdInvestigadors.text,"Estais completamente a oscuras, no veis absolutamente nada. Agudizais los sentidos.\n La casa huele a musgo y a madera apolillada... escucháis pequeños ruidos en el interior de la casa, muy suaves.\n ¿Encendeis vuestra lámpara?"
EventHallAdMódulos.text,"La luz parpadea un momento e ilumina la sala.\n\nColoca el módulo {c:TileHall}\n\nVeis dos puertas y un pasillo que se adentra en la casa.\na la izquierda llena la pared un cuadro imponente. \n\nAñadir las dos fichas de Pared y Pared (con cuadro) como se indica.\nUna ficha de Vista al fondo del pasillo.\n\nSitúa tus investigador@s junto a la puerta\nCada Investigador@ recibe 2 {clue}"
UIInici.button1,Continuar
EventInici.text,|||Sir Jeremiah Blackwood es el tío de {rnd:hero}. \nA principios de año te invitó, con mucha insistencia, \n a pasar la Navidad en su casa.\n<i><b>"- ¡La familia debe estar unida en estas fechas!"</b> </i>\nPero hace semanas que no responde a tus cartas. \n{rnd:hero} decides ir con tu equipo a comprobar que puede haber ocurrido. \nEl viaje es largo y se aleja de la civilización.\nSobre los acantilados de Kingsport, la solitaria casa parece anclada en el siglo pasado, aunque asentada sobre paredes de piedra mucho más antiguas.\n La bordea un jardín del que hace tiempo que nadie se ocupa.\nLlamáis a la herrumbrosa puerta.\n Sólo responde un sordo eco. \n{rnd:hero} recuerdas que guardas las Llaves Antiguas de la familia.\n\nAbres la puerta y entrais.\nVuestros indecisos pasos resuenan en el vacío.|||
EventInici.button1,Continuar
EventAdInvestigadors.button1,Encender
EventHall_AdExplorers.button1,Continuar
TokenHallExplRoom.text,"Al poner la oreja en la puerta no se oye absolutamente nada, nada de nada.\n ¿Quieres entrar {action} ?"
EventAdRoom.text,"Elimina la ficha de Exploración.\nPon el módulo {c:TileRoom}.\nAñade una ficha de Pared a la izquierda.\n\nEs un dormitorio confortable.\nAunque huele a polvo y humedad.\nEnfrente ves una mesita de noche y en el fondo una cama deshecha y fría.\n Pon fichas de Búsqueda en ambos.\n\nPuedes moverte un espacio entrando a la habitación\n"
EventAdRoom.button1,Continuar
TokenRoomLlit.button1,Meter el brazo por el hueco {action}
EventRoomLlit.text,"Buscas a tientas por la estrecha separación entre la cama y la pared. \nEs muy angosto.\n A ciegas, tocas superficies de madera, sábanas arrugadas y pringosas, el polvo pegajoso acumulado en el suelo...\n Profundizas con esfuerzo. \nY palpas algo frío, metálico, aceitoso. \nComo un tubo. \nLo coges y pruebas a sacar tu brazo encajado.\n \nRecibes 1 carta de Daño anulada por {agility} "
TokenRoomLlit.text,"La cama está sin hacer. \nLas sábanas están muy sucias \ny la alfombra tiene restos de lo que parece barro seco.\nTe parece que algo ha resbalado de debajo de la almohada arrastrando la ropa por detrás. \n ¿Quieres explorarlo? {action}"
EventRoomLlitGetArma.text,"Has encontrado el objeto  {c:QItemArmaFoc}.\n\nRetira la ficha de Búsqueda."
TokenBiblioQuadre.button1,Estudiarlo {action} ?
EventBiblioQuadreMirar.text,"La geometría no es euclidiana y la perspectiva se deforma cuando la observas de cerca. \n\nHaz una Tirada de {observation}"
EventBiblioQuadreMirar.button1,Continuar
EventBiblioQuadreFerPuzzle.text,"Ves claramente que hay un mecanismo\n relacionado con los fragmentos en que se divide la imagen. \n\nGira la ficha de Observación para que sea de Interacción\nGanas una {clue}"
TokenBiblioQuadreSecret.button1,Ordenar piezas {action} ?
PuzzleBiblioQuadre.button1,Resolver
EventBiblioQuadreResolt.button1,Continuar
EventBiblioQuadreDagaTrobada.button2,Fallas
EventBiblioQuadreFerPuzzle.button1,Continuar
TokenBiblioQuadreSecret.text,"Encuentras un mecanismo \nque permite mover partes del cuadro arrastrandolas.\n\n¿Quieres intentar ordenarlas con {lore} ? "
TokenHallExploDespatx.button1,Entrar {action}
EventHallAdDespatx.text,"Coloca el módulo {c:TileDespatx} \n\nEs una sala muy personal. Un espacio cálido presidido por una mesa de trabajo.\nTe desconcierta que al abrir la puerta ya no se oye ningún ruido.\nCaptas un olor muy característico que no puedes reconocer.\nUna hermosa puerta al fondo. \n\nMueve la actual ficha de Exploración a esa puerta.\n"
Es una sala muy personal," un espacio cálido donde flota el polvo, presidida por una mesa de trabajo.\nTe desconcierta que aquí dentro ya no se oye ningún ruido \nCaptas un olor muy característico que no puedes reconocer\n\n\nI retira la ficha de Exploración"
TokenRoomMesita.text,"La  pequeña mesita tiene un cajón\n¿Quieres inspeccionarla  {action}?"
TokenRoomMesita.button1,Inspeccionar {action}
EventRoomInvestigaTauleta.text,"Al abrir el cajón ves ropa de hombre anticuada. \nRopa interior y nada interesante a primera vista.\nSi quieres escudriñar a fondo prueba tu {observation}"
EventRoomInvestigaTauleta.button1,Busca
EventRoomInvestigaTauleta.button2,Fallo
EventRoomTauletaTrobat.text,"Remueves la ropa con cautela. \nPasas las manos por los laterales del cajón. \nPor el fondo... \nEncuentras un pequeño resorte.   \n"
EventRoomTauletaTrobat.button1,Activar Resorte
EventRoomMesitaFail.button1,Continuar
SpawnFantasmaDespatx.text,|||Ahora sabes de donde venían los ruidos. \nEn el despacho, hay un hombre sentado detrás de la mesa. Su cara no es una cara. \nMuta de ser un hombre de mediana edad, con el pelo blanco, y mirada digna; a transformarse en una masa sangrienta y viscosa, con pocos ecos humanos.\nTe atrae la gran letra "H" bordada \nen el bolsillo de su bata, raída y empapada de rojo brillante.\n\nPon una miniatura de  {c:SpawnFantasmaDespatx}  en la mesa del despacho.|||
SpawnFantasmaDespatx.button1,Continuar
TokenHallExploDespatx.text,"Al acercarte a la puerta escuchas un rumor al otro lado.\nSon sonidos familiares como de alguien moviendo papeles, escribiendo, cerrando cajones... "
EventHallFosc.button1,Continuar
EventHallFosc3.text,"Algo se mueve veloz a vuestro alrededor dejado un rastro pestilente terrible y una atmósfera eléctrica irrespirable.\nTOD@S los investigador@s notáis pinchazos en diferentes partes del cuerpo. \nRecibís {var:Danyo}  cartas de Daño boca arriba. \nY le investigador@ {rnd:hero} queda Aturdid@.\n\nVuelve el silencio.\n\nUn@ investigador@ recoge el Objeto {c:QItemLinterna}."
EventHallFosc2.text,"Vuestros cuerpos tiemblan sin control, todos los objetos que tenéis caen al suelo.\nTod@s recibís {var:Horror} cartas de Horror boca abajo."
EventHallFosc2.button1,Continuar
EventHallFosc3.button1,Continuar
EventAdInvestigadors.button2,Seguir a oscuras
EventHallFosc.text,"Estáis dentro de una oscuridad impenetrable.\nPalpais con las manos, esforzais los ojos y afinais el oído.\n Percibís pequeños ruidos por todas partes pero no veis nada. \nLos ruidos se aproximan cada vez más rápido, más cerca.\nOs invade una sensación de humedad en toda la piel y os infecta un fuerte olor, putrefacto y vomitivo."
